Row Labels,D,Sum of DG Cost,Sum of Profit - Rate,Sum of Profit - Transport,
2015,Nov,1855.5,1.56675E-12,4436.685083,2.391099479
2015,Dec,46143.69885,-4670.689519,55303.7227,1.097290301
2016,Jan,47191.67183,11094.93857,41594.54107,1.116499535
2016,Feb,32504.90428,7336.664034,30513.86249,1.164455868
2016,Mar,58565.3359,2486.875923,69274.49085,1.225321526
2016,Apr,3149.375,-7.10543E-14,3122.54903,0.991482129
2016,May,8850.75,-15.12,18087.27273,2.041878115
2016,Jun,31218.71491,-5667.466792,98967.98472,2.988608538
2016,Jul,55181.31967,110652.7655,92421.95273,3.680135225
2016,Aug,36613.27582,22456.26814,112574.1005,3.688016591
2016,Sep,72025.06802,7532.098415,265909.8217,3.796482636
2016,Oct,155235.2883,167592.265,583933.0431,4.841201484
2016,Nov,244351.4921,89851.41948,568952.8569,2.696133634
2016,Dec,135291.0972,-36334.32183,281783.797,1.814232276
2017,Jan,57967.10674,415895.5221,97815.98198,8.862120829
2017,Feb,32454.94723,725612.0738,76806.55884,24.72407756
2017,Mar,207.75,0,360,1.732851986
Grand Total,,1018807.296,1513823.293,2401859.221,3.84339858
